Facility Code,Health Facility Code Short,Health Facility Code Duplicate 1,Source Duplicate 1,Duplicate 1 Date Collected,Health Facility Code Duplicate 2,Source Duplicate 2,Duplicate 2 Date Collected,Health Facility Code Duplicate 3,Source Duplicate 3,Duplicate 3 Date Collected,Health Facility Code Duplicate 4,Source Duplicate 4,Duplicate 4 Date Collected,SPEED Code,Source SPEED Code,SPEED Code Date Collected,PhilHealth Registration Number,Source Phil Health Code,Phil Health Code Date Collected,Health Facility Authorization/License to Operate,Source LTO Code,LTO Code Date Collected,Facility Name,Source Facility Name,Facility Name Date Collected,Old Health Facility Name 1,Source Old Health Facility Name 1,Old Health Facility Name 1 Date Collected,Old Health Facility Name 2,Source Old Health Facility Name 2,Old Health Facility Name 2 Date Collected,Old Health Facility Name 3,Source Old Health Facility Name 3,Old Health Facility Name 3 Date Collected,Health Facility Type,Source Health Facility Type,Health Facility Type Date Collected,Ownership Major Classification,Source Ownership Major Classification,Ownership Major Classification Date Collected,Ownership Sub-Classification for Government facilities,Source Ownership Sub-Classification for Government facilities,OSC Government Date Collected,Ownership Sub-Classification for private facilities,Source Ownership Sub-Classification for private facilities,OSC Private Date Collected,Street Name and #,Source Street Name and #,Street Name and # Date Collected,Building name and #,Source Building name and #,Building name and # Date Collected,Region Name                                             ,Source Region Name,Region Name Date Collected,Region PSGC,Province Name ,Source Province Name,Province Name  Date Collected,Province PSGC,City/Municipality Name,Source City/Municipality Name,City/Municipality Name Date Collected,City/Municipality PSGC,Barangay Name,Source Barangay Name,Barangay Name Date Collected,Barangay PSGC,Zip Code,Source Zip code,Zip Code Date Collected,Landline Number 1,Source Landline Number 1,Landline Number 1 Date Collected,Landline Number 2,Source Landline Number 2,Landline Number 2 Date Collected,Mobile Number 1,Source Mobile Number,Mobile Number Date Collected,Mobile Number 2,mobile number 2 src,mobile number 2 dt,Fax Number,Source Fax Number,Fax Number Date Collected,Email Address,Source Email Address,Email Address Date Collected,Alternate Email Address,Source Alternate Email Address,Alternate Email Address Date Collected,Official Website,Source Official Website,Official Website Date Collected,Facility Head: Last Name,Facility Head: First Name,Facility Head: Middle Name,Source Facility Head,Facility Head Date Collected,Facility Head: Position,Source Facility Head: Position,Facility Head: Position Date Collected,Latitude,Longitude,Source Latitude/Longitude,Latitude/Longitude Coord Date Collected,Precision Latitude/Longitude,Source Precision Latitude/Longitude,Health Facility Status in the database,Source Health Facility Status in the database,Health Facility Status in the database Date Collected,Reason for Inactive,Source Reason for Inactive,Reason for Inactive Date Collected,Comments,Source Comments,Comments Date Collected,Approval Status,Service Capability,Licensing Status,Licensing Status Source,Licensing Status Date Collected,Bed Capacity,Bed Capacity Source,Bed Capacity Date Collected,Request Source,Column1,Column2,Column3,,,,,,,,,,,,,,,,,,
DOH000000000032261,32261,,,,,,,,,,,,,,,,,,,01-044-16-01-BH-2,Regional Office,15/07/2016,EML BIRTHING HOME,Regional Office,15/07/2016,,,,,,,,,,Birthing Home,Regional Office,15/07/2016,Private,Regional Office,15/07/2016,,,,,,,499 ESTRELLAS ROAD,Regional Office,15/07/2016,,,,REGION I (ILOCOS REGION),Regional Office,15/07/2016,10000000,PANGASINAN,Regional Office,15/07/2016,15500000,BINMALEY,Regional Office,15/07/2016,15513000,CALOOCAN SUR,Regional Office,15/07/2016,15513011,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LAFORTEZA, JR.",ORLANDO,G.,Regional Office,15/07/2016,Other,Regional Office,15/07/2016,16.038997,120.294453,NAMRIA (GPS),22/05/2018,High,DOH/KMITS,Active,Regional Office,15/07/2016,,,,,,,Approved,,With License,Regional Office,15/07/2016,,,,NHFR WEBSITE,,,,,,,,,,,,,,,,,,,,,
DOH000000000032249,32249,,,,,,,,,,,,,,,,,,,01-003-16-01-BH-2,Regional Office,23/07/2020,LIAHONA'S BIRTHING HOME,Regional Office,23/07/2020,,,,,,,,,,Birthing Home,Regional Office,23/07/2020,Private,Regional Office,23/07/2020,,,,,,,,,,,,,REGION I (ILOCOS REGION),Regional Office,23/07/2020,10000000,PANGASINAN,Regional Office,23/07/2020,15500000,BINMALEY,Regional Office,23/07/2020,15513000,CALOOCAN NORTE,Regional Office,23/07/2020,15513010,,,,,,,,,,+63 9186029681,Regional Office,23/07/2020,,,,,,,,,,,,,,,,BERNARDO,TESSIE,D.,Regional Office,23/07/2020,Other,Regional Office,23/07/2020,16.036,120.277007,NAMRIA (GPS),22/05/2018,High,DOH/KMITS,Active,Regional Office,23/07/2020,Not Applicable,Regional Office,23/07/2020,,,,Approved,,With License,Regional Office,23/07/2020,1,Regional Office,23/07/2020,NHFR WEBSITE,,,,,,,,,,,,,,,,,,,,,
DOH000000000025856,25856,, ,,, ,,, ,,, ,, ,,, ,,, ,,,MANAT BARANGAY HEALTH STATION,DMO (DOH Rep),11/11/2014, , ,, , ,, , ,,Barangay Health Station,DMO (DOH Rep),11/11/2014,Government,DMO (DOH Rep),11/11/2014,Local Government Unit,DMO (DOH Rep),11/11/2014, , ,, , ,, , ,,REGION I (ILOCOS REGION),DMO (DOH Rep),11/11/2014,10000000,PANGASINAN,DMO (DOH Rep),11/11/2014,15500000,BINMALEY,DMO (DOH Rep),11/11/2014,15513000,MANAT,DMO (DOH Rep),11/11/2014,15513020,2417,DOH/KMITS,11/11/2014, , ,, , ,,+63 9176036722,DMO (DOH Rep),11/11/2014,,,, , ,, , ,, , ,, , ,,ROSARIO,EMMA,FABIA,DMO (DOH Rep),11/11/2014,Rural Health Midwife,DMO (DOH Rep),11/11/2014,16.014362,120.281645,NAMRIA (GPS),23/05/2018,High,DOH/KMITS,Active,DMO (DOH Rep),11/11/2014,Not Applicable,DMO (DOH Rep),11/11/2014, , ,,Approved,,,,,,,,NHFR WEBSITE,,,,,,,,,,,,,,,,,,,,,
DOH000000000002146,2146,DOH000000000010421,DOH/KMITS,01/07/2013,, ,,, ,,, ,, ,,, ,,, ,,,NAGUILAYAN BARANGAY HEALTH STATION,DMO (DOH Rep),11/11/2014, , ,, , ,, , ,,Barangay Health Station,DMO (DOH Rep),11/11/2014,Government,DMO (DOH Rep),11/11/2014,Local Government Unit,DMO (DOH Rep),11/11/2014, , ,, , ,, , ,,REGION I (ILOCOS REGION),DMO (DOH Rep),11/11/2014,10000000,PANGASINAN,DMO (DOH Rep),11/11/2014,15500000,BINMALEY,DMO (DOH Rep),11/11/2014,15513000,NAGUILAYAN,DMO (DOH Rep),11/11/2014,15513021,2417,DOH/KMITS,11/11/2014, , ,, , ,,+63 9176036722,DMO (DOH Rep),11/11/2014,,,, , ,, , ,, , ,, , ,,ROSARIO,EMMA,FABIA,DMO (DOH Rep),11/11/2014,Rural Health Midwife,DMO (DOH Rep),11/11/2014,16.003197,120.290896,NAMRIA (GPS),23/05/2018,High,DOH/KMITS,Active,DMO (DOH Rep),11/11/2014,Not Applicable,DMO (DOH Rep),11/11/2014, , ,,Approved,,,,,,,,NHFR WEBSITE,,,,,,,,,,,,,,,,,,,,,
DOH000000000003526,3526,DOH000000000018352,DOH/KMITS,01/07/2013,, ,,, ,,, ,, ,,, ,,, ,,,PALLAS BARANGAY HEALTH STATION,DMO (DOH Rep),11/11/2014, , ,, , ,, , ,,Barangay Health Station,DMO (DOH Rep),11/11/2014,Government,DMO (DOH Rep),11/11/2014,Local Government Unit,DMO (DOH Rep),11/11/2014, , ,,PROVINCIAL ROAD,DMO (DOH Rep),11/11/2014, , ,,REGION I (ILOCOS REGION),DMO (DOH Rep),11/11/2014,10000000,PANGASINAN,DMO (DOH Rep),11/11/2014,15500000,BINMALEY,DMO (DOH Rep),11/11/2014,15513000,PALLAS,DMO (DOH Rep),11/11/2014,15513022,2417,DOH/KMITS,11/11/2014, , ,, , ,,+63 9158806231,DMO (DOH Rep),11/11/2014,,,, , ,, , ,, , ,, , ,,ROSARIO,DELFINA,A.,DMO (DOH Rep),11/11/2014,Rural Health Midwife,DMO (DOH Rep),11/11/2014,15.974277,120.307243,NAMRIA (GPS),23/05/2018,High,DOH/KMITS,Active,DMO (DOH Rep),11/11/2014,Not Applicable,DMO (DOH Rep),11/11/2014, , ,,Approved,,,,,,,,NHFR WEBSITE,,,,,,,,,,,,,,,,,,,,,
DOH000000000001255,1255,DOH000000000010434,DOH/KMITS,01/07/2013,, ,,, ,,, ,, ,,, ,,, ,,,PAPAGUEYAN BARANGAY HEALTH STATION,DMO (DOH Rep),11/11/2014, , ,, , ,, , ,,Barangay Health Station,DMO (DOH Rep),11/11/2014,Government,DMO (DOH Rep),11/11/2014,Local Government Unit,DMO (DOH Rep),11/11/2014, , ,,PROVINCIAL ROAD,DMO (DOH Rep),11/11/2014, , ,,REGION I (ILOCOS REGION),DMO (DOH Rep),11/11/2014,10000000,PANGASINAN,DMO (DOH Rep),11/11/2014,15500000,BINMALEY,DMO (DOH Rep),11/11/2014,15513000,PAPAGUEYAN,DMO (DOH Rep),11/11/2014,15513023,2417,DOH/KMITS,11/11/2014, , ,, , ,,+63 9158806231,DMO (DOH Rep),11/11/2014,,,, , ,, , ,, , ,, , ,,ROSARIO,DELFINA,A.,DMO (DOH Rep),11/11/2014,Rural Health Midwife,DMO (DOH Rep),11/11/2014,15.978604,120.314071,NAMRIA (GPS),23/05/2018,High,DOH/KMITS,Active,DMO (DOH Rep),11/11/2014,Not Applicable,DMO (DOH Rep),11/11/2014, , ,,Approved,,,,,,,,NHFR WEBSITE,,,,,,,,,,,,,,,,,,,,,
DOH000000000001256,1256,DOH000000000010436,DOH/KMITS,01/07/2013,, ,,, ,,, ,, ,,, ,,, ,,,PARAYAO BARANGAY HEALTH STATION,DMO (DOH Rep),11/11/2014, , ,, , ,, , ,,Barangay Health Station,DMO (DOH Rep),11/11/2014,Government,DMO (DOH Rep),11/11/2014,Local Government Unit,DMO (DOH Rep),11/11/2014, , ,, , ,, , ,,REGION I (ILOCOS REGION),DMO (DOH Rep),11/11/2014,10000000,PANGASINAN,DMO (DOH Rep),11/11/2014,15500000,BINMALEY,DMO (DOH Rep),11/11/2014,15513000,PARAYAO,DMO (DOH Rep),11/11/2014,15513024,2417,DOH/KMITS,11/11/2014, , ,, , ,,+63 9053956989,DMO (DOH Rep),11/11/2014,,,, , ,, , ,, , ,, , ,,DE VERA,LOURDES,CALIMLIM,DMO (DOH Rep),11/11/2014,Rural Health Midwife,DMO (DOH Rep),11/11/2014,15.968427,120.310724,NAMRIA (GPS),23/05/2018,High,DOH/KMITS,Active,DMO (DOH Rep),11/11/2014,Not Applicable,DMO (DOH Rep),11/11/2014, , ,,Approved,,,,,,,,NHFR WEBSITE,,,,,,,,,,,,,,,,,,,,,
DOH000000000003708,3708,DOH000000000010439,DOH/KMITS,01/07/2013,,,,,,,,,, ,,, ,,,,,,POTOTAN BARANGAY HEALTH STATION,DMO (DOH Rep),08/10/2019,,,,,,,,,,Barangay Health Station,DMO (DOH Rep),08/10/2019,Government,DMO (DOH Rep),08/10/2019,Local Government Unit,DMO (DOH Rep),08/10/2019,,,,SITIO CAMANBOGAN,DMO (DOH Rep),08/10/2019,,,,REGION I (ILOCOS REGION),DMO (DOH Rep),08/10/2019,10000000,PANGASINAN,DMO (DOH Rep),08/10/2019,15500000,BINMALEY,DMO (DOH Rep),08/10/2019,15513000,POTOTAN,DMO (DOH Rep),08/10/2019,15513027,2417,DMO (DOH Rep),08/10/2019,,,,,,,+63 9173556275,DMO (DOH Rep),08/10/2019,,,,,,,,,,,,,,,,PADILLA,LOURDES,,DMO (DOH Rep),08/10/2019,Rural Health Midwife,DMO (DOH Rep),08/10/2019,15.966782,120.282071,NAMRIA (GPS),23/05/2018,High,DOH/KMITS,Active,DMO (DOH Rep),08/10/2019,Not Applicable,DMO (DOH Rep),08/10/2019,,,,Approved,,,,,,,,NHFR WEBSITE,,,,,,,,,,,,,,,,,,,,,
DOH000000000004174,4174,DOH000000000010388,DOH/KMITS,01/07/2013,, ,,, ,,, ,, ,,, ,,, ,,,SAN ISIDRO SUR BARANGAY HEALTH STATION,DMO (DOH Rep),11/11/2014, , ,, , ,, , ,,Barangay Health Station,DMO (DOH Rep),11/11/2014,Government,DMO (DOH Rep),11/11/2014,Local Government Unit,DMO (DOH Rep),11/11/2014, , ,, , ,, , ,,REGION I (ILOCOS REGION),DMO (DOH Rep),11/11/2014,10000000,PANGASINAN,DMO (DOH Rep),11/11/2014,15500000,BINMALEY,DMO (DOH Rep),11/11/2014,15513000,SAN ISIDRO SUR,DMO (DOH Rep),11/11/2014,15513031,2417,DOH/KMITS,11/11/2014, , ,, , ,,+63 9178528547,DMO (DOH Rep),11/11/2014,,,, , ,,meds_40@yahoo.com,DMO (DOH Rep),11/11/2014, , ,, , ,,LAFORTEZA,EMMA,MELENDEZ,DMO (DOH Rep),11/11/2014,Rural Health Midwife,DMO (DOH Rep),11/11/2014,16.034111,120.26803,NAMRIA (GPS),22/05/2018,High,DOH/KMITS,Active,DMO (DOH Rep),11/11/2014,Not Applicable,DMO (DOH Rep),11/11/2014, , ,,Approved,,,,,,,,NHFR WEBSITE,,,,,,,,,,,,,,,,,,,,,
DOH000000000001315,1315,DOH000000000010441,DOH/KMITS,01/07/2013,, ,,, ,,, ,, ,,, ,,, ,,,SANTA ROSA BARANGAY HEALTH STATION,DMO (DOH Rep),11/11/2014, , ,, , ,, , ,,Barangay Health Station,DMO (DOH Rep),11/11/2014,Government,DMO (DOH Rep),11/11/2014,Local Government Unit,DMO (DOH Rep),11/11/2014, , ,, , ,, , ,,REGION I (ILOCOS REGION),DMO (DOH Rep),11/11/2014,10000000,PANGASINAN,DMO (DOH Rep),11/11/2014,15500000,BINMALEY,DMO (DOH Rep),11/11/2014,15513000,SANTA ROSA,DMO (DOH Rep),11/11/2014,15513032,2417,DOH/KMITS,11/11/2014, , ,, , ,,+63 9173596672,DMO (DOH Rep),11/11/2014,,,, , ,, , ,, , ,, , ,,TADEO,ELAINE,DIAZ,DMO (DOH Rep),11/11/2014,Rural Health Midwife,DMO (DOH Rep),11/11/2014,16.002362,120.311266,NAMRIA (GPS),23/05/2018,High,DOH/KMITS,Active,DMO (DOH Rep),11/11/2014,Not Applicable,DMO (DOH Rep),11/11/2014, , ,,Approved,,,,,,,,NHFR WEBSITE,,,,,,,,,,,,,,,,,,,,,
DOH000000000000958,958,DOH000000000010475,DOH/KMITS,06/10/2017,,,,,,,,,, ,,, ,,,,,,BALINGASAY BARANGAY HEALTH STATION,DMO (DOH Rep),06/10/2017,,,,,,,,,,Barangay Health Station,DMO (DOH Rep),06/10/2017,Government,DMO (DOH Rep),06/10/2017,Local Government Unit,DMO (DOH Rep),06/10/2017,,,,PUROK 4,DMO (DOH Rep),06/10/2017,,,,REGION I (ILOCOS REGION),DMO (DOH Rep),06/10/2017,10000000,PANGASINAN,DMO (DOH Rep),06/10/2017,15500000,BOLINAO,DMO (DOH Rep),06/10/2017,15514000,BALINGASAY,DMO (DOH Rep),06/10/2017,15514002,2406,DOH/KMITS,06/10/2017,,,,,,,+63 9186164436,DMO (DOH Rep),06/10/2017,,,,,,,,,,,,,,,,MARQUEZ,ELIZABETH,S.,DMO (DOH Rep),06/10/2017,Rural Health Midwife,DMO (DOH Rep),06/10/2017,16.357704,119.860255,NAMRIA (GPS),23/05/2018,High,DOH/KMITS,Active,DMO (DOH Rep),06/10/2017,Not Applicable,DMO (DOH Rep),06/10/2017,,,,Approved,,,,,,,,NHFR WEBSITE,,,,,,,,,,,,,,,,,,,,,
DOH000000000007479,7479,DOH000000000008087,DOH/KMITS,30/12/2016,,,,,,,,,,,,,,,,,,,BOLINAO COMMUNITY HOSPITAL,Regional Office,22/07/2020,BOLINAO MEDICARE COMMUNITY HOSPITAL,Regional Office,22/07/2020,,,,,,,Hospital,Regional Office,22/07/2020,Government,Regional Office,22/07/2020,Local Government Unit,Regional Office,22/07/2020,,,,NATIONAL HIGHWAY,Regional Office,22/07/2020,,,,REGION I (ILOCOS REGION),Regional Office,22/07/2020,10000000,PANGASINAN,Regional Office,22/07/2020,15500000,BOLINAO,Regional Office,22/07/2020,15514000,SAMPALOC,Regional Office,22/07/2020,15514026,2406,Regional Office,22/07/2020,,,,,,,+63 9175089178,Regional Office,22/07/2020,,,,,,,bolinao_y_c@ymail.com,Regional Office,22/07/2020,,,,,,,RIVERA,GENEVIEVE,S.,Regional Office,22/07/2020,Chief of Hospital,Regional Office,22/07/2020,16.267816,119.878875,NAMRIA (GPS),23/05/2018,High,DOH/KMITS,Active,Regional Office,22/07/2020,Not Applicable,Regional Office,22/07/2020,,,,Approved,Level 1,With License,Regional Office,22/07/2020,25,Regional Office,22/07/2020,NHFR WEBSITE,,,,,,,,,,,,,,,,,,,,,
DOH000000000032233,32233,,,,,,,,,,,,,,,,,,,01-035-16-07-BH-1,Regional Office,23/07/2020,BOLINAO RHU I - BIRTHING HOME FACILITY,Regional Office,23/07/2020,,,,,,,,,,Birthing Home,Regional Office,23/07/2020,Government,Regional Office,23/07/2020,Local Government Unit,Regional Office,23/07/2020,,,,,,,,,,REGION I (ILOCOS REGION),Regional Office,23/07/2020,10000000,PANGASINAN,Regional Office,23/07/2020,15500000,BOLINAO,Regional Office,23/07/2020,15514000,GERMINAL (POB.),Regional Office,23/07/2020,15514011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.402405,119.925862,NAMRIA (GPS),23/05/2018,High,DOH/KMITS,Active,Regional Office,23/07/2020,Not Applicable,Regional Office,23/07/2020,,,,Approved,,With License,Regional Office,23/07/2020,7,Regional Office,23/07/2020,NHFR WEBSITE,,,,,,,,,,,,,,,,,,,,,
DOH000000000005260,5260,DOH000000000027904,DOH/KMITS,01/07/2013,, ,,, ,,, ,, ,,, ,,, ,,,BOLINAO RHU I MAIN HEALTH CENTER,DMO (DOH Rep),11/11/2014, , ,, , ,, , ,,Barangay Health Station,DMO (DOH Rep),11/11/2014,Government,DMO (DOH Rep),11/11/2014,Local Government Unit,DMO (DOH Rep),11/11/2014, , ,, , ,, , ,,REGION I (ILOCOS REGION),DMO (DOH Rep),11/11/2014,10000000,PANGASINAN,DMO (DOH Rep),11/11/2014,15500000,BOLINAO,DMO (DOH Rep),11/11/2014,15514000,GERMINAL (POB.),DMO (DOH Rep),11/11/2014,15514011,2406,DOH/KMITS,11/11/2014,+63 755542948,DMO (DOH Rep),11/11/2014, , ,, , ,,,,,+63 755442948,DMO (DOH Rep),11/11/2014, , ,, , ,, , ,,CONSUL,MAXIMINO,PILAPIL,DMO (DOH Rep),11/11/2014,Rural Health Midwife,DMO (DOH Rep),11/11/2014,16.384742,119.893317,NAMRIA (GPS),23/05/2018,High,DOH/KMITS,Active,DMO (DOH Rep),11/11/2014,Not Applicable,DMO (DOH Rep),11/11/2014, , ,,Approved,,,,,,,,NHFR WEBSITE,,,,,,,,,,,,,,,,,,,,,
DOH000000000038562,38562,,,,,,,,,,,,,,DMO (DOH Rep),28/04/2020,,DMO (DOH Rep),28/04/2020,,DMO (DOH Rep),28/04/2020,BOLINAO RHU II- BIRTHING HOME FACILITY,DMO (DOH Rep),28/04/2020,,,,,,,,,,Birthing Home,DMO (DOH Rep),28/04/2020,Government,DMO (DOH Rep),28/04/2020,,DMO (DOH Rep),28/04/2020,,DMO (DOH Rep),28/04/2020,,DMO (DOH Rep),28/04/2020,,DMO (DOH Rep),28/04/2020,REGION I (ILOCOS REGION),DMO (DOH Rep),28/04/2020,10000000,PANGASINAN,DMO (DOH Rep),28/04/2020,15500000,BOLINAO,DMO (DOH Rep),28/04/2020,15514000,LUCERO,DMO (DOH Rep),28/04/2020,15514016,,DMO (DOH Rep),28/04/2020,63,DMO (DOH Rep),28/04/2020,63,DMO (DOH Rep),28/04/2020,63,DMO (DOH Rep),28/04/2020,63,DMO (DOH Rep),28/04/2020,,DMO (DOH Rep),28/04/2020,,DMO (DOH Rep),28/04/2020,,DMO (DOH Rep),28/04/2020,,DMO (DOH Rep),28/04/2020,,,,DMO (DOH Rep),28/04/2020,,DMO (DOH Rep),28/04/2020,16.402405,119.925862,NAMRIA (GPS),23/05/2018,High,DOH/KMITS,Active,DMO (DOH Rep),28/04/2020,Not Applicable,DMO (DOH Rep),28/04/2020,,DMO (DOH Rep),28/04/2020,Approved,,With License,DMO (DOH Rep),28/04/2020,2,DMO (DOH Rep),28/04/2020,MOBILE REQUEST,,,,,,,,,,,,,,,,,,,,,
DOH000000000027905,27905,, ,,, ,,, ,,, ,, ,,, ,,, ,,,BOLINAO RHU II MAIN HEALTH CENTER,DMO (DOH Rep),11/11/2014, , ,, , ,, , ,,Barangay Health Station,DMO (DOH Rep),11/11/2014,Government,DMO (DOH Rep),11/11/2014,Local Government Unit,DMO (DOH Rep),11/11/2014, , ,, , ,, , ,,REGION I (ILOCOS REGION),DMO (DOH Rep),11/11/2014,10000000,PANGASINAN,DMO (DOH Rep),11/11/2014,15500000,BOLINAO,DMO (DOH Rep),11/11/2014,15514000,LUCERO,DMO (DOH Rep),11/11/2014,15514016,2406,DOH/KMITS,11/11/2014, , ,, , ,,+63 9212480603,DMO (DOH Rep),11/11/2014,,,, , ,, , ,, , ,, , ,,CAMBA,ALMEY,C.,DMO (DOH Rep),11/11/2014,Rural Health Midwife,DMO (DOH Rep),11/11/2014,16.402405,119.925862,NAMRIA (GPS),23/05/2018,High,DOH/KMITS,Active,DMO (DOH Rep),11/11/2014,Not Applicable,DMO (DOH Rep),11/11/2014, , ,,Approved,,,,,,,,NHFR WEBSITE,,,,,,,,,,,,,,,,,,,,,
DOH000000000001713,1713,DOH000000000010448,DOH/KMITS,06/10/2017,,,,,,,,,, ,,, ,,,,,,BOLINAO RURAL HEALTH UNIT I,DMO (DOH Rep),06/10/2017,,,,,,,,,,Rural Health Unit,DMO (DOH Rep),06/10/2017,Government,DMO (DOH Rep),06/10/2017,Local Government Unit,DMO (DOH Rep),06/10/2017,,,,NATIONAL HIGHWAY,DMO (DOH Rep),06/10/2017,,,,REGION I (ILOCOS REGION),DMO (DOH Rep),06/10/2017,10000000,PANGASINAN,DMO (DOH Rep),06/10/2017,15500000,BOLINAO,DMO (DOH Rep),06/10/2017,15514000,GERMINAL (POB.),DMO (DOH Rep),06/10/2017,15514011,2406,DOH/KMITS,06/10/2017,+63 756324657,DMO (DOH Rep),06/10/2017,,,,+63 9491642361,DMO (DOH Rep),06/10/2017,,,,+63 755542948,DMO (DOH Rep),06/10/2017,rhu_bolinao@yahoo.com,DMO (DOH Rep),06/10/2017,,,,,,,DEL FIERRO,PANGILALO JR.,DAILO,DMO (DOH Rep),06/10/2017,Municipal Health Officer,DMO (DOH Rep),06/10/2017,16.384742,119.893317,NAMRIA (GPS),23/05/2018,High,DOH/KMITS,Active,DMO (DOH Rep),06/10/2017,Not Applicable,DMO (DOH Rep),06/10/2017,,,,Approved,,,,,,,,NHFR WEBSITE,,,,,,,,,,,,,,,,,,,,,
DOH000000000002500,2500,DOH000000000006163,DOH/KMITS,01/07/2013,DOH000000000010478,DOH/KMITS,01/07/2013,,,,,,, ,,, ,,,,,,BOLINAO RURAL HEALTH UNIT II,DMO (DOH Rep),06/10/2017,,,,,,,,,,Rural Health Unit,DMO (DOH Rep),06/10/2017,Government,DMO (DOH Rep),06/10/2017,Local Government Unit,DMO (DOH Rep),06/10/2017,,,,PUROK 6,DMO (DOH Rep),06/10/2017,,,,REGION I (ILOCOS REGION),DMO (DOH Rep),06/10/2017,10000000,PANGASINAN,DMO (DOH Rep),06/10/2017,15500000,BOLINAO,DMO (DOH Rep),06/10/2017,15514000,LUCERO,DMO (DOH Rep),06/10/2017,15514016,2406,DOH/KMITS,06/10/2017,+63 755542948,DMO (DOH Rep),06/10/2017,,,,+63 9339890992,DMO (DOH Rep),06/10/2017,,,,,,,ruralhealthunitI@GMAIL.COM,,06/10/2017,,,,,,,REYES,ROMAN,,DMO (DOH Rep),06/10/2017,Rural Health Physician,DMO (DOH Rep),06/10/2017,16.402405,119.925862,NAMRIA (GPS),23/05/2018,High,DOH/KMITS,Active,DMO (DOH Rep),06/10/2017,Not Applicable,DMO (DOH Rep),06/10/2017,,,,Approved,,,,,,,,NHFR WEBSITE,,,,,,,,,,,,,,,,,,,,,
DOH000000000002835,2835,DOH000000000010452,DOH/KMITS,01/07/2013,,,,,,,,,, ,,, ,,,,,,CABUYAO BARANGAY HEALTH STATION,DMO (DOH Rep),06/10/2017,,,,,,,,,,Barangay Health Station,DMO (DOH Rep),06/10/2017,Government,DMO (DOH Rep),06/10/2017,Local Government Unit,DMO (DOH Rep),06/10/2017,,,,PUROK 7,DMO (DOH Rep),06/10/2017,,,,REGION I (ILOCOS REGION),DMO (DOH Rep),06/10/2017,10000000,PANGASINAN,DMO (DOH Rep),06/10/2017,15500000,BOLINAO,DMO (DOH Rep),06/10/2017,15514000,CABUYAO,DMO (DOH Rep),06/10/2017,15514004,2406,DOH/KMITS,06/10/2017,,,,,,,+63 9498263592,DMO (DOH Rep),06/10/2017,,,,,,,,,,,,,,,,VALDEZ,EDITHA,CAASI,DMO (DOH Rep),06/10/2017,Rural Health Midwife,DMO (DOH Rep),06/10/2017,16.341468,119.892559,NAMRIA (GPS),23/05/2018,High,DOH/KMITS,Active,DMO (DOH Rep),06/10/2017,Not Applicable,DMO (DOH Rep),06/10/2017,,,,Approved,,,,,,,,NHFR WEBSITE,,,,,,,,,,,,,,,,,,,,,
DOH000000000003042,3042,DOH000000000010454,DOH/KMITS,01/07/2013,,,,,,,,,, ,,, ,,,,,,CATUDAY BARANGAY HEALTH STATION,DMO (DOH Rep),06/10/2017,,,,,,,,,,Barangay Health Station,DMO (DOH Rep),06/10/2017,Government,DMO (DOH Rep),06/10/2017,Local Government Unit,DMO (DOH Rep),06/10/2017,,,,SENTRO CATUDAY,DMO (DOH Rep),06/10/2017,,,,REGION I (ILOCOS REGION),DMO (DOH Rep),06/10/2017,10000000,PANGASINAN,DMO (DOH Rep),06/10/2017,15500000,BOLINAO,DMO (DOH Rep),06/10/2017,15514000,CATUDAY,DMO (DOH Rep),06/10/2017,15514005,2406,DOH/KMITS,06/10/2017,,,,,,,+63 9498263592,DMO (DOH Rep),06/10/2017,,,,,,,,,,,,,,,,CAACBAY,HELEN,FRANCISCO,DMO (DOH Rep),06/10/2017,Rural Health Midwife,DMO (DOH Rep),06/10/2017,16.288712,119.813502,NAMRIA (GPS),23/05/2018,High,DOH/KMITS,Active,DMO (DOH Rep),06/10/2017,Not Applicable,DMO (DOH Rep),06/10/2017,,,,Approved,,,,,,,,NHFR WEBSITE,,,,,,,,,,,,,,,,,,,,,
DOH000000000002247,2247,DOH000000000010599,DOH/KMITS,01/07/2013,,,,,,,,,, ,,, ,,,,,,DEWEY BARANGAY HEALTH STATION,DMO (DOH Rep),06/10/2017,,,,,,,,,,Barangay Health Station,DMO (DOH Rep),06/10/2017,Government,DMO (DOH Rep),06/10/2017,Local Government Unit,DMO (DOH Rep),06/10/2017,,,,PUROK 6,DMO (DOH Rep),06/10/2017,,,,REGION I (ILOCOS REGION),DMO (DOH Rep),06/10/2017,10000000,PANGASINAN,DMO (DOH Rep),06/10/2017,15500000,BOLINAO,DMO (DOH Rep),06/10/2017,15514000,DEWEY,DMO (DOH Rep),06/10/2017,15514009,2406,DOH/KMITS,06/10/2017,,,,,,,+63 9262557192,DMO (DOH Rep),06/10/2017,,,,,,,,,,,,,,,,BERNABESE,WILMA,CAASIS,DMO (DOH Rep),06/10/2017,Rural Health Midwife,DMO (DOH Rep),06/10/2017,16.407364,119.960565,NAMRIA (GPS),23/05/2018,High,DOH/KMITS,Active,DMO (DOH Rep),06/10/2017,Not Applicable,DMO (DOH Rep),06/10/2017,,,,Approved,,,,,,,,NHFR WEBSITE,,,,,,,,,,,,,,,,,,,,,
